table,csv_stem,csv_rows,db_rows,csv_sha256,db_sha256,status
object_type,01_object_type,18,18,77486768547fcfbda2444e8075c994cd566c741b8f096bbc7751056645ef0410,77486768547fcfbda2444e8075c994cd566c741b8f096bbc7751056645ef0410,ok
field,02_field,98,98,15edf2caa1f3db43fe273804401eb645b585e653d4d7ea5c021228e86586847e,15edf2caa1f3db43fe273804401eb645b585e653d4d7ea5c021228e86586847e,ok
semantic,03_semantic,163,163,94df7a0e30cba12daefaa075a66a1e160f86050996e732a1db882c081e27d0f8,94df7a0e30cba12daefaa075a66a1e160f86050996e732a1db882c081e27d0f8,ok
value_set,04_value_set,604,604,a7fa543306ec53e73bfe39115ab2d949f6243d6781ad23364b99dbbd9f2c2dee,a7fa543306ec53e73bfe39115ab2d949f6243d6781ad23364b99dbbd9f2c2dee,ok
relation,05_relation,173,173,6887f03f9892d2c95cde59ef31cebf2be5a0786630e0bea126b9880d8bfa7646,6887f03f9892d2c95cde59ef31cebf2be5a0786630e0bea126b9880d8bfa7646,ok
rule,06_rule,201,201,2e75ba291eaf4263d405e0fb22189b0b68671f171e7cc03c4124efb52fe31dcd,2e75ba291eaf4263d405e0fb22189b0b68671f171e7cc03c4124efb52fe31dcd,ok
evidence,07_evidence,201,201,a717220d471e0ba740bb84826265d514e32a00e95f9422e09d74ae52d4459d94,a717220d471e0ba740bb84826265d514e32a00e95f9422e09d74ae52d4459d94,ok
lifecycle,08_lifecycle,1,1,9c497f9b87ab85765a704bc74640fdc5bf7f1b57166544a471faf0f69e96e3c0,9c497f9b87ab85765a704bc74640fdc5bf7f1b57166544a471faf0f69e96e3c0,ok
call_mapping,09_call_mapping,243,243,404606fef1e30940bc8bd44a045ceb45799b305e1232bd51b2d8fff102d2df36,404606fef1e30940bc8bd44a045ceb45799b305e1232bd51b2d8fff102d2df36,ok
